expression,sentence
"T<x, y> = T<x-1, y-1> * 2 if X[x] == Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T(x, y) = max(T(x-1, y), T(x, y-1)) if X(x) != Y(y)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"G{i, j} = i + j if i > 0 && j > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the first-dimensional variable and the second-dimensional variable."
"G[i, j] = 0 if (i == 0 || j == 0)","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"D(a, b) = min(D(a-1, b), D(a, b-1)) + 1 if a > 0 and b > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D<a, b> = 0 if a == 0 or b == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"F[m, n] = F[m-1, n-1] + 5 if M(m) == N(n)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"F<m, n> = max(F<m-1, n>, F<m, n-1>) if M[m] != N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
K[p][q] = K[p-1][q] + K[p][q-1] if p > 0 and q > 0,"If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"K(p, q) = 1 if p == 0 || q == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
"S[u, v] = S[u-1, v-1] + 3 if U[u] == V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 3 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"S(u, v) = max(S(u-1, v), S(u, v-1)) if U(u) != V(v)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"M<p, q> = max(M(p-1, q), M(p, q-1)) + 2 if p == q","If the first-dimensional variable is equal to the second-dimensional variable, the value is 2 more than the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"N[i, j] = N[i-1][j-1] + 4 if X[i] == Y[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 4 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"P(x, y) = P(x-1, y) + P(x, y-1) if x > 0 && y > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"Q<a, b> = Q(a-1, b-1) * 2 if A(a) == B(b)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = 0 if i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if i == 0 or j == 0, L[i, j] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = 0 when i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L(i, j) = 0 iff (i = 0) ∨ (j = 0)","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = 0, if i = 0, j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = 0 provided that i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = 0 only if i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = max(L[i-1, j], L[i, j-1]) if (A[i] != B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = max(L(i-1, j), L(i, j-1)) when A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = L(i-1, j-1) + 1, where A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if A[i] == B[j], then L(i, j) = L(i-1, j-1) + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T[x, y] = T[x-1, y-1] * 2 for X[x] == Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T[x, y] = max(T[x-1, y], T[x, y-1]), ∀ X[x] ≠ Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T[x, y] = T[x-1, y-1] * 2 ∧ X[x] = Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if p > 0 and q > 0: K(p, q) = K(p-1, q) + K(p, q-1)","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
K[p][q] = 1 if (p == 0 or q == 0),"If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
"S(u, v) = max(S(u-1, v), S(u, v-1)) ↔ U[u] ≠ V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"S[u, v] = S[u-1, v-1] + 3 implies U[u] = V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 3 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"P[x, y]: P[x-1, y] + P[x, y-1] if x > 0 and y > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"Q<a, b> = Q(a-1, b-1) * 2 provided A(a) == B(b)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = 0 whenever i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if i = 0 or j = 0 then L(i, j) = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
L[i][j] is assigned 0 when i == 0 or j == 0,"If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] equals to max(L[i-1, j], L[i, j-1]) if A[i] ≠ B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = max(L(i-1, j), L(i, j-1)) suppose A[i] ≠ B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T[x, y] = 1, when x == 0, y == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
"While i > 0 and j > 0, L[i, j] = L[i-1, j-1] + 1 if A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L(i, j) = 0 given that i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L(i, j) = max(L(i-1, j), L(i, j-1)), if A[i] != B[j], else 0","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less; otherwise, the value is 0."
"F(m, n) = F(m-1, n-1) + 5 assuming M[m] = N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"F[m, n]: F[m-1, n-1] + 5 if M[m] = N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"K(p, q) = K(p-1, q) + K(p, q-1) provided only if p > 0 and q > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"Let L[i, j] = L[i-1, j-1] + 1 if A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) ∧ (i ≠ j)","If the first-dimensional variable is not equal to the second-dimensional variable, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"If X(x) = Y(y), then T(x, y) = T(x-1, y-1) * 2","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"Thus, S[u, v] = max(S[u-1, v], S[u, v-1]) when U[u] ≠ V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D[a, b] equates to 0 if a == 0 or b == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"Q<a, b> = Q((a-1), b-1) * 2 if A(a) == B(b)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"If A[a] == B[b], Q[a, b] = Q[a-1, b-1] + 7","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 7 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"Assume that a > 0 and b > 0: D[a, b] = min(D[a-1, b], D[a, b-1]) + 1","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = 0 ↔ (i = 0) ∨ (j = 0)","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L(i, j) = 0 if i == 0 && j == 0","If the first-dimensional variable is 0 and the second-dimensional variable is 0, the value is 0."
"L(i, j) = max(L(i-1, j), L(i, j-1)) ∧ A[i] ≠ B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j): max(L(i-1, j), L(i, j-1)) where i > j","If the first-dimensional variable is greater than the second-dimensional variable, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T[x, y] is set to T[x-1, y-1] * 2, given X[x] = Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T(x, y) = T(x-1, y-1) + 1 provided X[x] = Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T[x, y] = T[x-1, y-1] + 1 assuming X[x] = Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T[x, y] equals T[x-1, y-1] + 1 when X[x] == Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]), given A[i] ≠ B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = (max(L(i-1, j), L(i, j-1))), when (A[i] != B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"If i > 0 and j > 0, then D[a, b] = min(D[a-1, b], D[a, b-1]) + 1","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D[a, b] = min(D[a-1, b], D[a, b-1]) + 1, provided a > 0 and b > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"If (M[m] == N[n]), then F[m, n] = F[m-1, n-1] + 5","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"F[m, n] = max(F[m-1, n], F[m, n-1]), ∀ M[m] ≠ N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"G(i, j) = i + j only if i > 0 and j > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the first-dimensional variable and the second-dimensional variable."
"Let G(i, j) = i + j when i > 0 and j > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the first-dimensional variable and the second-dimensional variable."
"F[m][n]: F[m-1, n-1] + 5, where M[m] == N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"Q(a, b) = Q(a-1, b-1) * 2 for A(a) == B(b)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"Q(a, b): Q(a-1, b-1) * 2, when A(a) = B(b)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"Assume a > 0 and b > 0: D(a, b) = min(D(a-1, b), D(a, b-1)) + 1","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = 0 if i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if i == 0 or j == 0, L[i, j] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
L[i][j] = 0 when i = 0 or j = 0,"If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if (i == 0) or (j == 0), then L[i, j] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L(i, j) = 0, provided i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = L[i-1, j-1] + 1 if A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if A[i] == B[j], then L[i, j] = L[i-1, j-1] + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
L[i][j] = L[i-1][j-1] + 1 when A[i] == B[j],"If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if (A[i] == B[j]), then L[i, j] = L[i-1, j-1] + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L(i, j) = L(i-1, j-1) + 1, provided A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) if A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"if A[i] != B[j], then L[i, j] = max(L[i-1, j], L[i, j-1])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i][j] = max(L[i-1][j], L[i][j-1]) when A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"if (A[i] != B[j]), then L[i, j] = max(L[i-1, j], L[i, j-1])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = max(L(i-1, j), L(i, j-1)), provided A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L((i), (j)) = 0 if ((i == 0) or (j == 0))","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[(i), (j)] = L[(i-1), (j-1)] + 1 if (A[i] == B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max((L[i-1, j]), (L[i, j-1])) if (A[i] != B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = 0 provided that i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = L[i-1, j-1] + 1 provided that A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) provided that A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"if i = 0 or j = 0, L(i, j) = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if A[i] == B[j], then L(i, j) = L(i-1, j-1) + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if A[i] != B[j], then L(i, j) = max(L(i-1, j), L(i, j-1))","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = 0 if i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if i = 0 or j = 0, then L[i, j] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L(i, j) = 0, provided that i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"When i = 0 or j = 0, L[i][j] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = 0 whenever i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = L[i-1, j-1] + 1 if A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if A[i] == B[j], then L[i, j] = L[i-1, j-1] + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = L[i-1, j-1] + 1 provided that A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"When A[i] == B[j], L[i][j] = L[i-1][j-1] + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L(i, j) = L(i-1, j-1) + 1, whenever A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) if A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"if A[i] != B[j], then L[i, j] = max(L[i-1, j], L[i, j-1])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) provided that A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"When A[i] != B[j], L[i][j] = max(L[i-1][j], L[i][j-1])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L(i, j) = max(L(i-1, j), L(i, j-1)), whenever A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = 0 assuming i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
